site_name,Lines
152 boulevard du Montparnasse,4
18 quai de l'Hôtel de Ville,4
20 Avenue de Clichy,9
254 rue de Vaugirard,3
27 quai de la Tournelle,5
28 boulevard Diderot,11
36 quai de Grenelle,2
38 rue Turbigo,6
39 quai François Mauriac,6
6 rue Julia Bartet,4
67 boulevard Voltaire SE-NO,5
90 Rue De Sèvres,6
Face 104 rue d'Aubervilliers,3
Face au 25 quai de l'Oise,4
Face au 4 avenue de la porte de Bagnolet,3
Voie Georges Pompidou,4
Totem Cours la Reine,5
Totem 85 quai d'Austerlitz,5
Totem 73 boulevard de Sébastopol,7
Totem 64 Rue de Rivoli,8
Quai dOrsay,5
Pont des Invalides S-N,3
Pont des Invalides N-S,3
Pont de la Concorde S-N,6
Pont de Bercy,1
Pont Charles De Gaulle,10
Face au 8 avenue de la porte de Charenton,2
Face au 70 quai de Bercy,8
Face au 48 quai de la marne,4
Face au 40 quai D'Issy,0
Quai d'Orsay,5
